rent,age,minutes,area,flooring,konro,senmen,autolock,aircon,bath_toilet,parking,corner
5.9,8,8,23,1,1,1,0,0,0,0,1
6.9,4,5,28,1,1,0,1,0,0,0,1
5.5,7,3,18,1,1,0,1,0,0,0,1
6.15,7,5,27,1,1,1,0,0,0,0,1
5.9,10,8,23,1,1,1,0,1,1,0,0
5.8,10,8,23,1,1,1,0,1,0,0,1
6.5,5,14,25,0,0,1,0,1,1,1,0
5,12,20,35,0,1,0,0,1,1,1,0
3.8,16,30,21,1,0,1,0,1,1,0,0
8.2,1,12,38,1,1,0,0,1,0,0,1
7.7,1,12,35,1,1,0,0,1,0,0,1
6.9,1,12,31,0,0,1,0,1,1,0,1
6.5,1,12,25,1,0,1,0,1,0,0,1
7.6,2,7,28,1,1,1,1,0,0,0,0
4.4,19,17,25,1,1,1,0,1,0,0,1
4.9,18,4,23,0,0,1,0,1,1,0,1
4.4,35,7,22,1,1,0,0,1,1,0,0
5.1,12,15,26,1,0,0,0,1,1,0,0
2.4,35,13,16,1,0,0,0,1,0,0,1
3.7,32,4,16,1,0,0,0,1,0,0,0
6.3,7,5,27,1,1,1,0,1,0,0,1
6.3,20,5,31,1,1,1,0,1,0,1,0
8.2,1,11,38,1,1,0,0,1,0,0,1
6.4,20,5,31,1,0,1,1,1,0,0,1
3.5,23,19,20,0,0,0,0,1,1,1,0
6.1,4,14,25,1,1,1,0,1,0,0,0
5.6,7,13,22,1,1,1,0,1,1,0,0
2.4,36,12,14,0,0,0,0,1,0,0,0
6.1,8,15,27,1,1,0,1,0,1,0,0
3.1,45,9,22,1,1,0,0,1,0,0,1
4.2,30,7,20,1,0,0,0,1,1,1,0
6.2,8,15,27,1,1,0,1,1,0,0,0
4.2,32,6,20,1,0,0,0,1,1,1,0
3.1,43,7,19,1,1,0,0,1,0,0,1
4.1,23,22,20,0,0,0,0,1,1,0,1
4.4,20,14,25,1,0,1,0,1,1,0,1
5.2,15,5,30,1,1,1,0,1,0,0,1
2.7,32,18,16,1,0,0,0,1,0,0,0
4.1,36,5,16,1,0,0,0,1,0,0,0
8,17,4,34,0,0,0,0,1,0,0,1
2.8,35,10,14,1,0,0,0,1,0,0,1
5,23,3,33,0,0,0,0,0,1,0,1
2.7,36,13,14,1,0,0,0,1,0,0,0
3.5,35,9,20,1,0,0,0,1,0,0,0
3.8,16,30,21,1,0,1,0,1,1,0,0
4.1,32,7,18,0,0,0,1,1,0,0,0
5.5,18,13,35,1,1,1,0,1,1,1,0
4.2,20,27,25,1,0,1,0,1,0,1,1
2.8,36,11,15,1,0,0,0,1,0,0,1
3.3,35,6,14,1,0,0,0,1,0,0,1
3.2,35,7,18,0,0,0,0,1,0,0,1
2.2,36,12,14,0,0,0,0,1,0,0,0
5.7,20,20,33,1,1,1,0,1,0,1,0
3.5,23,19,20,0,0,0,0,1,1,1,0
4.9,17,15,30,0,0,0,0,1,1,0,0
6.55,19,6,29,1,0,1,0,1,1,0,0
3.7,37,17,22,1,0,0,0,1,0,0,1
4.3,33,2,18,1,0,0,1,1,0,0,0
6.7,20,12,31,1,1,1,1,1,0,0,0
3.3,35,13,19,1,0,0,0,1,0,0,1
4,36,10,20,1,0,0,0,1,0,0,1
3.3,34,20,18,1,0,0,0,1,0,0,1
5.3,24,11,27,1,0,1,0,1,0,1,1
4.3,33,3,18,1,0,0,1,1,0,0,0
6.3,15,13,33,1,1,1,0,1,0,0,0
6.2,15,13,33,1,0,1,0,1,1,0,0
4.1,38,12,16,1,0,0,0,1,0,0,0
4.7,25,7,20,1,0,0,0,1,1,0,0
5.4,22,15,22,1,0,0,1,0,0,1,0
4.5,36,13,23,1,1,0,0,1,0,0,0
5.5,16,22,33,1,1,1,0,0,0,0,1
6.5,16,17,33,1,1,1,0,1,0,1,0
6.3,16,17,33,1,0,0,0,1,1,1,1
6,7,5,25,1,1,0,1,0,0,0,1
5.8,7,5,25,1,1,1,0,1,0,0,0
6,7,4,25,1,1,1,0,0,0,0,1
5.8,4,18,35,1,1,1,0,1,0,0,1
