time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-05T22:11:25.365Z,-4.9343,35.1796,10,4.7,mb,52,56,3.835,0.7,us,us7000i5hd,2022-10-04T00:10:55.040Z,"33 km E of Mungaa, Tanzania",earthquake,5.43,1.874,0.081,46,reviewed,us,us
2022-09-05T20:41:37.257Z,-20.4151,-11.6932,10,4.7,mb,41,97,27.742,0.4,us,us7000i5h0,2022-09-15T20:23:45.040Z,"southern Mid-Atlantic Ridge",earthquake,14.45,1.82,0.099,31,reviewed,us,us
2022-09-05T19:07:41.362Z,-30.3058,-177.3911,10,4.7,mb,32,159,13.177,0.87,us,us7000i7n2,2022-09-15T19:45:33.040Z,"Kermadec Islands, New Zealand",earthquake,15.6,1.856,0.108,26,reviewed,us,us
2022-09-05T18:20:55.964Z,-14.7943,167.3142,125.451,4.6,mb,47,57,0.658,0.65,us,us7000i5g5,2022-09-15T19:18:20.040Z,"37 km NE of Port-Olry, Vanuatu",earthquake,12.53,5.405,0.101,29,reviewed,us,us
2022-09-05T16:57:56.932Z,29.0859,142.4495,10,4.5,mb,41,78,1.996,0.45,us,us7000i7nb,2022-09-14T16:15:33.040Z,"Izu Islands, Japan region",earthquake,5.18,1.843,0.111,24,reviewed,us,us
2022-09-05T15:45:07.544Z,-30.4117,-177.6405,35,4.8,mb,50,108,7.885,0.62,us,us7000i5fi,2022-09-14T15:53:08.040Z,"Kermadec Islands, New Zealand",earthquake,10.02,1.818,0.087,46,reviewed,us,us
2022-09-05T15:38:35.289Z,-13.1577,-107.85,10,4.6,mb,68,104,42.036,0.57,us,us7000i5e1,2022-09-14T15:45:06.040Z,"",earthquake,17.09,1.862,0.056,98,reviewed,us,us
2022-09-05T14:11:45.219Z,-4.8214,153.5397,76.072,4.6,mb,41,98,1.508,0.84,us,us7000i5dm,2022-09-14T14:59:49.040Z,"New Ireland region, Papua New Guinea",earthquake,5.18,6.881,0.103,30,reviewed,us,us
2022-09-05T13:49:26.830Z,52.0568,-30.131,10,5.1,mww,139,39,12.38,0.77,us,us7000i5dj,2022-09-14T14:53:11.040Z,"northern Mid-Atlantic Ridge",earthquake,4.29,1.763,0.063,24,reviewed,us,us
2022-09-05T11:57:01.033Z,34.5991,70.5807,10,4.6,mb,60,143,1.27,0.43,us,us7000i5cw,2022-09-19T08:30:58.040Z,"22 km NNE of Jal?l?b?d, Afghanistan",earthquake,6.1,1.866,0.066,69,reviewed,us,us
2022-09-05T11:51:27.350Z,-6.7701,129.5623,158.462,4.6,mb,51,88,2.102,0.37,us,us7000i5cq,2022-09-19T08:21:54.040Z,"Banda Sea",earthquake,7.22,5.009,0.082,44,reviewed,us,us
2022-09-05T11:26:22.627Z,29.6551,102.2807,10,4.8,mb,42,80,8.424,0.6,us,us7000i5ct,2022-09-19T08:25:29.040Z,"49 km SE of Kangding, China",earthquake,11.48,1.906,0.072,60,reviewed,us,us
