time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-09-04T09:42:18.429Z,-0.9499,-21.7246,10,6.9,mww,91,37,10.098,0.69,us,us7000i53f,2022-09-04T11:45:34.878Z,"central Mid-Atlantic Ridge",earthquake,10.13,1.845,0.035,78,reviewed,us,us
2022-09-04T09:42:22.000Z,-0.8,-21.8,10,6.8,Mi,93,35.99999712000023,0,2.08,at,at00rhoat4,2022-09-04T10:14:11.858Z,"",earthquake,0,0,,31,reviewed,at,at
2022-08-14T13:44:19.694Z,-32.7361,-179.0088,30,6.6,mww,68,34,5.293,0.61,us,us6000iasi,2022-08-24T14:58:00.620Z,"",earthquake,5.55,1.839,0.059,28,reviewed,us,us
2022-08-14T21:04:44.737Z,-22.0781,170.966,78,6.4,mww,126,31,3.301,0.65,us,us6000iav7,2022-08-24T21:56:42.095Z,"southeast of the Loyalty Islands",earthquake,7.75,1.857,0.039,62,reviewed,us,us
2022-08-30T09:09:43.013Z,-54.639,-136.1712,10,6.3,mww,150,33,28.211,0.45,us,us7000i3mp,2022-08-31T09:12:54.219Z,"Pacific-Antarctic Ridge",earthquake,11.41,1.817,0.069,20,reviewed,us,us
2022-08-23T14:31:39.963Z,-5.0735,103.0826,50.5,6.2,mww,115,42,0.719,0.77,us,us6000id0t,2022-08-31T18:29:32.582Z,"117 km S of Pagar Alam, Indonesia",earthquake,7.22,1.899,0.046,46,reviewed,us,us
2022-09-04T23:57:31.767Z,-56.0216,-124.5154,10,6.2,mww,68,69,28.293,0.71,us,us7000i585,2022-09-05T02:00:35.123Z,"",earthquake,5.62,1.788,0.063,24,reviewed,us,us
2022-09-02T22:39:51.648Z,-5.6678,148.6949,126,6.1,mww,151,16,3.754,0.79,us,us7000i4st,2022-09-03T22:44:33.824Z,"111 km WNW of Kandrian, Papua New Guinea",earthquake,8.75,1.884,0.045,48,reviewed,us,us
2022-08-07T13:40:42.835Z,43.7392,148.0852,61.92,5.9,mww,144,42,3.986,0.5,us,us6000i8vz,2022-08-21T20:10:20.657Z,"109 km E of Shikotan, Russia",earthquake,8.08,3.611,0.061,26,reviewed,us,us
2022-08-13T18:57:17.187Z,-5.9807,147.2941,58.438,5.9,mww,193,16,5.166,0.77,us,us6000iakp,2022-08-20T23:59:43.631Z,"88 km NW of Finschhafen, Papua New Guinea",earthquake,8.13,3.451,0.06,27,reviewed,us,us
2022-08-14T03:11:50.874Z,-15.7976,167.0591,10,5.9,mww,76,49,0.375,0.92,us,us6000ianq,2022-08-16T16:54:11.040Z,"32 km SSW of Luganville, Vanuatu",earthquake,8.91,1.857,0.098,10,reviewed,us,us
2022-08-29T03:29:13.966Z,-1.0077,98.6416,17.631,5.9,mww,113,34,2.532,0.98,us,us7000i38s,2022-08-31T20:57:29.278Z,"170 km WSW of Pariaman, Indonesia",earthquake,6.71,3.934,0.08,15,reviewed,us,us
